model,type,depth,ch_chairman_mrr,ch_chairman_mp1,ch_chairman_mp5,ch_chairman_mp10,ch_premier_mrr,ch_premier_mp1,ch_premier_mp5,ch_premier_mp10,us_president_mrr,us_president_mp1,us_president_mp5,us_president_mp10,us_secretary_mrr,us_secretary_mp1,us_secretary_mp5,us_secretary_mp10,uk_minister_mrr,uk_minister_mp1,uk_minister_mp5,uk_minister_mp10,fr_president_mrr,fr_president_mp1,fr_president_mp5,fr_president_mp10,de_premier_mrr,de_premier_mp1,de_premier_mp5,de_premier_mp10,jp_premier_mrr,jp_premier_mp1,jp_premier_mp5,jp_premier_mp10,kr_president_mrr,kr_president_mp1,kr_president_mp5,kr_president_mp10,total_mrr,total_mp1,total_mp5,total_mp10
compass,cbow,25,0.43773892195767183,0.32916666666666666,0.6020833333333333,0.7125,0.817792241507195,0.7523364485981309,0.9112149532710281,0.9509345794392523,0.8698831327402756,0.8197802197802198,0.9296703296703297,0.967032967032967,0.7978595151828847,0.7010869565217391,0.9293478260869565,0.9483695652173914,0.6809464136531806,0.556390977443609,0.8646616541353384,0.9448621553884712,0.7337806382859384,0.6254416961130742,0.8763250883392226,0.9328621908127208,0.7562217853502257,0.6880733944954128,0.8486238532110092,0.8967889908256881,0.8259650889560255,0.7583081570996979,0.918429003021148,0.9486404833836858,0.32490834990834994,0.2751842751842752,0.40540540540540543,0.43734643734643736,0.6869922692615751,0.6057987175913019,0.8017842207973237,0.8536381377195428
compass,cbow,30,0.33622083241898887,0.1889400921658986,0.5529953917050692,0.716589861751152,0.8039856855748327,0.7416020671834626,0.8863049095607235,0.9431524547803618,0.8496686700570193,0.7839805825242718,0.9441747572815534,0.9587378640776699,0.8113591269841269,0.7378048780487805,0.9085365853658537,0.9451219512195121,0.7009145671195529,0.5789473684210527,0.8670360110803325,0.9390581717451524,0.6805538669368458,0.5787234042553191,0.8212765957446808,0.8851063829787233,0.7444786015672092,0.6556962025316456,0.8658227848101265,0.9240506329113924,0.8068632150846915,0.7181208053691275,0.9228187919463087,0.9630872483221476,0.2201978691019787,0.18082191780821918,0.27123287671232876,0.3041095890410959,0.6535298328766446,0.5654743390357698,0.7751166407465008,0.8370139968895801
compass,cbow,35,0.2941812439261418,0.16581632653061223,0.4897959183673469,0.6556122448979592,0.7538849425589758,0.6795580110497238,0.856353591160221,0.914364640883978,0.9012243386243384,0.8586666666666667,0.9573333333333334,0.9813333333333333,0.8194257388701833,0.7272727272727273,0.936026936026936,0.9562289562289562,0.652822281560599,0.5202492211838006,0.8442367601246106,0.8909657320872274,0.5930209120685311,0.4656084656084656,0.783068783068783,0.8941798941798942,0.7295846484607291,0.6282420749279539,0.8760806916426513,0.9164265129682997,0.830085403726708,0.7427536231884058,0.9420289855072463,0.967391304347826,0.06855642663569493,0.03048780487804878,0.10670731707317073,0.16463414634146342,0.6220806461367597,0.5323865604433669,0.7471423623138206,0.8084516799445791
compass,cbow,40,0.29678858983206796,0.1681159420289855,0.48985507246376814,0.6463768115942029,0.6290346001702467,0.5425867507886435,0.7602523659305994,0.8138801261829653,0.8785974887467426,0.8119402985074626,0.9641791044776119,0.9791044776119403,0.7439461749612124,0.631578947368421,0.8796992481203008,0.9135338345864662,0.729800170068027,0.6357142857142857,0.875,0.8928571428571429,0.5894569471624268,0.4863013698630137,0.7397260273972602,0.821917808219178,0.7230684326710818,0.6225165562913907,0.8642384105960265,0.9304635761589404,0.8021986707962319,0.7154471544715447,0.9146341463414634,0.959349593495935,0.04447925368977999,0.021052631578947368,0.06315789473684211,0.11929824561403508,0.5998432838639025,0.5111022997620935,0.7232355273592387,0.7823156225218081
compass,cbow,45,0.3029087301587301,0.17,0.4766666666666667,0.6833333333333333,0.5114427644537134,0.41605839416058393,0.6532846715328468,0.7554744525547445,0.8437725779967159,0.7586206896551724,0.9448275862068966,0.9862068965517241,0.682375478927203,0.5258620689655172,0.8922413793103449,0.9267241379310345,0.8882062146892654,0.8347457627118644,0.9533898305084746,0.9533898305084746,0.5009998443821974,0.35294117647058826,0.7352941176470589,0.8823529411764706,0.6919156551509494,0.5882352941176471,0.8235294117647058,0.8745098039215686,0.7748526077097505,0.680952380952381,0.8952380952380953,0.9380952380952381,0.021113734750098385,0.008264462809917356,0.0371900826446281,0.045454545454545456,0.5787009852983697,0.4834189631013545,0.7052779075198505,0.7748715553479683
compass,cbow,50,0.3390442352651655,0.1511627906976744,0.6201550387596899,0.8255813953488372,0.5280857142857144,0.412,0.712,0.836,0.7901279879540751,0.6798418972332015,0.9525691699604744,0.9723320158102767,0.6378186628186628,0.4696969696969697,0.8535353535353535,0.8888888888888888,0.9162859560067681,0.8781725888324873,0.9644670050761421,0.9847715736040609,0.42789612921191855,0.24561403508771928,0.6842105263157895,0.8070175438596491,0.6820544647558866,0.5545023696682464,0.8483412322274881,0.9052132701421801,0.8385454002389485,0.7634408602150538,0.9354838709677419,0.956989247311828,0.013821138211382112,0.004878048780487805,0.03414634146341464,0.03902439024390244,0.5803305785123967,0.47052341597796143,0.7366391184573002,0.8049586776859504
compass,cbow,55,0.44330637915543547,0.2688679245283019,0.6415094339622641,0.8962264150943396,0.4938126059485282,0.33495145631067963,0.7378640776699029,0.8009708737864077,0.7513747837207551,0.6587677725118484,0.8720379146919431,0.9289099526066351,0.607147880249146,0.4620253164556962,0.8037974683544303,0.879746835443038,0.8759027777777778,0.8125,0.95,0.95625,0.29279100529100527,0.08333333333333333,0.5833333333333334,0.8333333333333334,0.6604580498866212,0.5542857142857143,0.8114285714285714,0.8742857142857143,0.7797986478542033,0.6975308641975309,0.8827160493827161,0.9135802469135802,0.017287784679089025,0.006211180124223602,0.037267080745341616,0.055900621118012424,0.5755144839908051,0.4667124227865477,0.7199725463280714,0.7982155113246396
compass,cbow,60,0.5711976911976914,0.41818181818181815,0.7575757575757576,0.9515151515151515,0.41822420634920643,0.2625,0.69375,0.7875,0.7916409897292249,0.7235294117647059,0.8764705882352941,0.9352941176470588,0.5189442443644126,0.3949579831932773,0.680672268907563,0.7815126050420168,0.8121927236971485,0.7168141592920354,0.9203539823008849,0.9557522123893806,,,,,0.5519117135905458,0.43795620437956206,0.7007299270072993,0.7883211678832117,0.7345953682019256,0.6639344262295082,0.8524590163934426,0.8770491803278688,0.029985754985754988,0.008547008547008548,0.05982905982905983,0.08547008547008547,0.5603041488580928,0.45693563009972804,0.7044424297370807,0.7869446962828649
compass,cbow,65,0.618694885361552,0.4358974358974359,0.8888888888888888,0.9914529914529915,0.3602173602173601,0.1981981981981982,0.6576576576576577,0.7567567567567568,0.7995085470085469,0.7384615384615385,0.8923076923076924,0.9230769230769231,0.48359949670925284,0.35365853658536583,0.6585365853658537,0.7560975609756098,0.7956349206349206,0.717948717948718,0.8846153846153846,0.9230769230769231,,,,,0.46532186948853616,0.35555555555555557,0.6,0.7111111111111111,0.7801203277009728,0.7096774193548387,0.8709677419354839,0.9354838709677419,0.034852607709750565,0.009523809523809525,0.05714285714285714,0.09523809523809523,0.5410817676946709,0.43796526054590573,0.6910669975186104,0.7630272952853598
compass,cbow,70,0.5155102040816325,0.2714285714285714,0.8714285714285714,1.0,0.21924908424908426,0.06153846153846154,0.47692307692307695,0.5846153846153846,0.9186274509803922,0.8588235294117647,0.9882352941176471,0.9882352941176471,0.506266149870801,0.4418604651162791,0.5813953488372093,0.6976744186046512,0.8063063063063063,0.7297297297297297,0.8918918918918919,0.8918918918918919,,,,,0.5631944444444443,0.425,0.725,0.75,0.727833668678739,0.6197183098591549,0.8873239436619719,0.971830985915493,0.033568075117370894,0.0,0.07042253521126761,0.11267605633802817,0.5323865507475466,0.4211618257261411,0.6867219917012448,0.7510373443983402
compass,cbow,75,0.28797619047619044,0.05,0.55,0.85,0.05424107142857142,0.0,0.0625,0.3125,0.8087121212121211,0.6590909090909091,1.0,1.0,0.11818181818181818,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.7561728395061729,0.7222222222222222,0.7777777777777778,0.8888888888888888,,,,,0.17142857142857143,0.0,0.5,1.0,0.6928187403993856,0.5806451612903226,0.8387096774193549,1.0,0.0592948717948718,0.0,0.19230769230769232,0.3076923076923077,0.4790698223733938,0.36904761904761907,0.6190476190476191,0.75
compass,cbow,80,,,,,,,,,0.6180555555555556,0.5,0.8333333333333334,1.0,,,,,,,,,,,,,,,,,0.4800000000000001,0.2,1.0,1.0,,,,,0.5553030303030304,0.36363636363636365,0.9090909090909091,1.0
